Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
54,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-057,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
55,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-151,1987,31.2,1018,1218,83.6,14916,2632,620,696,89.1,294,345,85.2,70,99,70.7,8,6.2,+1.8,36,55,35,1,79,Matches
56,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-098,1990,18.7,922,1124,82.0,17364,6946,402,462,87.0,388,451,86.0,117,166,70.5,3,1.9,+1.1,18,63,39,17,122,Matches
57,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,25-319,1995,24.3,592,881,67.2,9371,3143,332,407,81.6,202,269,75.1,44,144,30.6,4,3.7,+0.3,36,22,38,8,78,Matches
58,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-246,1990,16.8,450,627,71.8,11554,3780,82,111,73.9,240,289,83.0,124,217,57.1,0,0.0,0.0,0,26,1,0,37,Matches
59,Blanco\Blanco,es ESP,MFDF,Real Madrid,20-300,2000,2.4,161,175,92.0,2911,611,78,82,95.1,56,62,90.3,23,26,88.5,0,0.1,-0.1,2,15,1,1,10,Matches
60,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-154,1998,6.4,105,144,72.9,1492,189,63,79,79.7,37,48,77.1,3,6,50.0,0,0.5,-0.5,6,4,1,1,2,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-298,1995,18.2,470,664,70.8,13914,8364,96,97,99.0,199,200,99.5,173,365,47.4,0,0.0,0.0,0,7,1,0,0,Matches
62,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-099,1995,2.8,67,96,69.8,1154,271,33,43,76.7,24,28,85.7,7,17,41.2,0,0.1,-0.1,2,7,0,0,4,Matches
63,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-044,1991,33.0,865,1096,78.9,26072,12892,121,121,100.0,409,411,99.5,332,560,59.3,0,0.0,0.0,1,4,0,0,1,Matches
64,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-080,1996,28.9,497,630,78.9,7759,1143,284,335,84.8,144,178,80.9,46,63,73.0,1,1.0,0.0,9,43,7,1,29,Matches
