Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
521,Suso\Suso,es ESP,FW,Sevilla,27-181,1993,23.7,1404,9,149,580,770,63,1344,50,65,76.9,53,2,1153,5841,2990,187,46,20,42,44,1349,1156,85.7,166,Matches
522,Tachi\Tachi,es ESP,DF,Alavés,23-251,1997,8.4,410,55,220,202,15,7,377,1,1,100.0,1,0,197,1017,630,14,0,0,2,0,243,236,97.1,0,Matches
523,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,25-295,1995,30.0,1939,111,691,1187,183,17,1902,25,28,89.3,25,1,1186,5563,3092,100,31,0,10,28,1278,1210,94.7,15,Matches
524,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,20-073,2001,0.7,24,1,4,10,11,1,23,0,0,,0,0,18,95,52,1,1,0,0,0,20,15,75.0,3,Matches
525,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,24-303,1996,1.2,114,4,27,55,35,1,94,0,0,,0,0,62,255,159,7,2,0,1,0,67,66,98.5,4,Matches
526,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,29-281,1991,13.9,642,6,78,290,321,59,628,17,34,50.0,21,3,470,2680,1650,85,25,20,28,11,611,476,77.9,71,Matches
527,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,29-019,1992,31.0,1091,969,1086,5,1,1,899,0,1,0.0,1,0,645,2404,1380,0,0,0,0,0,638,635,99.5,0,Matches
528,David Timor\David-Timor,es ESP,MFDF,Getafe,31-214,1989,15.5,757,52,200,427,154,5,677,2,3,66.7,2,0,304,1623,797,41,7,1,4,3,357,338,94.7,6,Matches
529,Toño\Tono,es ESP,DF,Levante,31-193,1989,7.4,419,21,145,176,122,7,360,9,15,60.0,10,0,286,1312,759,36,13,2,6,9,302,269,89.1,27,Matches
530,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,25-097,1996,5.8,372,16,103,237,43,5,370,1,1,100.0,1,0,220,971,484,19,3,2,2,8,278,261,93.9,5,Matches
