Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
272,Koke\Koke,es ESP,MF,Atlético Madrid,29-131,1992,32.6,2380,2265,115,69,5,313,67,18,38,6,21,0,1828,230,322,170,2130,57,6,5,2095,10,22,37,34,Matches
273,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,28-093,1993,4.9,189,179,10,9,0,42,13,1,0,0,0,0,121,22,46,154,27,3,1,1,161,3,4,1,1,Matches
274,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFFW,Atlético Madrid,28-093,1993,6.7,384,379,5,5,2,69,13,0,0,0,0,0,311,41,32,315,46,17,0,1,333,2,7,6,4,Matches
275,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,25-318,1995,0.8,29,18,11,0,0,1,1,1,0,0,0,0,13,12,4,14,4,0,11,0,24,0,2,0,0,Matches
276,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,22-188,1998,32.1,2277,2229,48,38,1,228,56,13,0,0,0,0,1860,182,235,247,1891,67,10,3,2060,6,22,17,26,Matches
277,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,31-135,1990,23.5,2172,1927,245,121,10,185,171,40,116,34,39,9,1592,184,396,318,1809,18,8,4,1949,10,27,22,24,Matches
278,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,19-349,2001,3.3,139,132,7,3,0,22,3,10,4,3,0,0,105,17,17,118,16,2,0,2,102,0,4,4,5,Matches
279,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,19-349,2001,7.9,188,173,15,5,0,35,5,14,7,4,1,0,130,23,35,154,19,8,3,1,136,0,2,2,10,Matches
280,Kuki\Kuki,es ESP,MF,Valladolid,23-014,1998,0.3,11,11,0,0,0,3,0,1,0,0,0,0,8,1,2,8,2,0,0,1,8,0,0,0,0,Matches
281,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,31-195,1989,29.2,1047,976,71,68,2,117,57,3,0,0,0,0,586,106,355,71,855,86,3,2,814,6,25,12,11,Matches
282,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,20-344,2000,9.2,353,346,7,3,1,67,10,19,3,0,0,2,268,40,45,278,51,14,1,3,280,2,5,9,18,Matches
283,Toni Lato\Toni-Lato,es ESP,DF,Valencia,23-179,1997,7.1,334,276,58,6,0,48,4,7,0,0,0,0,169,81,84,221,27,23,51,0,256,2,10,11,6,Matches
284,Lauti\Lauti,uy URU,MFFW,Celta Vigo,20-099,2001,0.2,3,3,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,1,3,0,0,0,0,Matches
285,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,24-189,1996,29.5,1568,1519,49,46,0,191,39,3,0,0,0,0,1190,118,260,153,1231,104,2,6,1372,2,25,9,11,Matches
286,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,28-095,1993,32.0,997,537,460,161,0,39,33,0,0,0,0,0,108,24,865,27,717,0,0,62,462,2,45,8,3,Matches
287,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,29-364,1991,32.5,1352,1273,79,75,1,137,94,5,0,0,0,0,889,95,368,141,1079,74,4,1,1086,5,29,20,14,Matches
288,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,28-015,1993,6.2,339,269,70,6,2,30,9,19,4,0,0,0,177,79,83,68,195,16,60,0,269,0,10,9,11,Matches
289,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,25-188,1995,15.2,810,747,63,16,2,117,36,28,35,11,19,0,598,90,122,663,115,16,9,2,661,2,12,20,24,Matches
290,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,25-336,1995,27.5,2293,2232,61,50,2,167,46,6,0,0,0,0,1985,121,187,1928,249,66,10,1,2129,4,16,36,12,Matches
291,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,34-176,1986,9.9,360,300,60,18,0,69,22,40,35,14,20,0,148,70,142,46,261,28,7,2,211,3,13,13,30,Matches
292,Sergio León\Sergio-Leon,es ESP,FW,Levante,32-133,1989,8.3,137,129,8,0,1,36,3,4,0,0,0,0,90,27,20,12,112,6,0,2,97,2,3,2,8,Matches
293,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,27-276,1993,1.0,54,51,3,3,0,4,1,0,0,0,0,0,46,3,5,12,40,2,0,0,48,1,1,1,0,Matches
294,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,26-109,1995,32.0,1294,1248,46,7,4,256,32,72,1,0,1,0,1023,127,144,122,1086,29,34,6,1064,6,18,25,59,Matches
295,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,23-041,1998,12.2,744,605,139,21,0,84,21,48,12,1,8,0,461,136,147,550,51,24,106,6,584,2,16,16,30,Matches
296,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,37-199,1983,11.7,652,519,133,17,0,68,22,37,0,0,0,0,389,121,142,45,458,20,116,1,533,1,10,14,18,Matches
297,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,33-131,1988,5.3,184,182,2,0,0,56,0,7,0,0,0,0,106,45,33,11,139,17,1,2,134,1,3,4,5,Matches
298,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,19-138,2002,2.8,146,113,33,1,1,19,7,11,1,0,0,0,76,27,43,88,19,6,31,0,113,0,4,3,4,Matches
299,Roberto López\Roberto-Lopez,es ESP,MFFW,Real Sociedad,21-025,2000,5.6,248,224,24,9,3,57,9,14,14,7,5,0,164,33,51,191,36,12,1,2,188,0,6,6,9,Matches
300,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,25-201,1995,14.8,949,888,61,37,2,118,59,15,15,6,3,1,618,137,194,28,884,26,2,3,796,4,14,22,19,Matches
301,Anthony Lozano\Anthony-Lozano,hn HON,FWMF,Cádiz,28-024,1993,16.9,278,266,12,0,0,95,4,18,0,0,0,0,139,72,67,24,175,26,1,10,170,2,7,7,17,Matches
302,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,26-041,1995,0.5,11,11,0,0,0,3,0,0,0,0,0,0,10,1,0,3,7,0,0,0,8,0,0,0,2,Matches
303,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,25-359,1995,31.6,1515,1259,256,46,0,173,57,96,1,0,0,0,882,334,299,1096,139,55,209,5,1184,4,30,26,54,Matches
304,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,33-300,1987,26.8,731,671,60,17,3,139,26,74,27,7,5,5,479,114,138,150,539,23,8,6,503,6,16,29,37,Matches
305,Luisinho\Luisinho,pt POR,DF,Huesca,36-014,1985,2.0,119,104,15,0,0,9,2,1,0,0,0,0,84,15,20,92,5,7,15,0,100,0,2,1,2,Matches
306,Luismi\Luismi,es ESP,MFDF,Elche,29-014,1992,1.9,109,106,3,3,0,15,12,1,0,0,0,0,80,11,18,10,96,2,0,0,94,0,4,4,0,Matches
307,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,28-101,1993,22.0,546,491,55,22,2,109,28,67,27,13,4,2,306,86,154,73,416,37,5,5,340,3,21,20,35,Matches
308,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,23-311,1997,21.0,1037,819,218,15,1,145,36,60,0,0,0,0,488,214,335,97,650,60,203,4,728,5,23,23,53,Matches
309,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,21-015,2000,0.7,18,18,0,0,0,4,0,0,0,0,0,0,9,4,5,1,14,2,0,0,13,0,1,0,1,Matches
310,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,26-113,1995,29.4,716,672,44,11,0,126,17,18,2,1,1,0,436,106,174,62,528,86,2,4,547,1,18,8,16,Matches
311,Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,28-182,1992,9.4,173,165,8,1,0,40,5,14,1,0,0,0,88,43,42,21,126,14,2,2,96,1,7,6,18,Matches
312,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,29-331,1991,28.9,1741,1395,346,39,2,164,31,68,0,0,0,0,972,404,365,163,1142,87,307,7,1339,6,45,44,44,Matches
313,Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,25-219,1995,25.1,1281,1265,16,13,1,214,38,5,0,0,0,0,980,122,179,118,1108,34,2,2,1095,2,21,34,14,Matches
314,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,29-209,1991,26.6,1496,1442,54,48,0,114,44,1,0,0,0,0,1236,121,139,145,1276,47,4,4,1378,1,11,14,8,Matches
315,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,30-095,1991,3.5,105,101,4,4,0,18,1,0,0,0,0,0,64,17,24,54,33,10,0,0,73,0,3,5,4,Matches
316,Maranhão\Maranhao,br BRA,FW,Valladolid,24-211,1996,12.4,196,189,7,0,0,71,8,6,0,0,0,0,100,61,35,26,109,20,1,10,123,2,9,11,10,Matches
317,Marcelo\Marcelo,br BRA,DF,Real Madrid,33-007,1988,11.4,857,760,97,13,2,69,29,39,0,0,0,0,546,164,147,670,86,12,84,3,696,4,12,17,22,Matches
318,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,30-350,1990,29.1,1514,1455,59,57,1,271,53,4,1,1,0,0,1119,151,244,127,1320,43,0,4,1313,3,18,35,28,Matches
319,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,32-035,1989,16.8,752,624,128,10,0,74,8,43,1,0,0,0,426,180,146,53,542,30,117,6,572,1,14,31,36,Matches
320,José Mari\Jose-Mari,es ESP,MF,Cádiz,33-164,1987,15.1,446,417,29,24,1,94,25,4,3,0,2,1,250,67,129,39,353,26,1,3,318,1,22,8,8,Matches
321,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,26-119,1995,18.6,1060,1008,52,31,1,66,47,1,0,0,0,0,825,70,165,166,812,34,20,8,934,4,17,8,11,Matches
322,Mariano\Mariano,do DOM,FW,Real Madrid,27-291,1993,5.4,98,88,10,0,0,33,1,0,0,0,0,0,69,17,12,14,68,4,1,0,75,0,0,2,4,Matches
323,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,24-130,1997,1.0,54,44,10,1,1,5,1,0,0,0,0,0,24,20,10,36,3,4,9,0,40,1,0,1,2,Matches
324,Adrián Marín\Adrian-Marin,es ESP,DFFW,Granada,24-130,1997,2.8,112,90,22,2,0,16,2,3,0,0,0,0,53,12,47,78,1,11,20,0,79,1,1,3,1,Matches
325,Roger Martí\Roger-Marti,es ESP,FW,Levante,30-136,1991,23.4,506,465,41,1,2,114,13,16,0,0,0,0,349,81,76,57,402,20,0,14,346,5,8,24,29,Matches
326,Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,24-027,1997,16.1,808,653,155,18,1,72,9,40,0,0,0,0,495,165,148,601,54,10,137,0,651,1,9,20,23,Matches
327,Álex Martín\Alex-Martin,es ESP,DF,Cádiz,23-114,1998,1.1,38,32,6,2,0,3,2,1,0,0,0,0,22,6,10,1,32,1,4,0,28,1,0,0,1,Matches
328,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,30-002,1991,28.0,1427,1343,84,74,1,144,73,9,0,0,0,0,953,152,322,1036,264,80,10,7,1193,6,27,27,21,Matches
329,Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,21-148,1999,5.0,152,151,1,0,0,25,6,3,0,0,0,0,90,27,35,18,110,19,0,1,104,0,2,3,8,Matches
330,Marvin\Marvin,es ESP,DFFW,Real Madrid,20-320,2000,1.5,81,70,11,0,0,14,1,4,0,0,0,0,58,17,6,4,61,1,11,0,69,0,1,1,1,Matches
331,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,32-136,1989,24.0,764,479,285,81,0,41,10,0,0,0,0,0,202,31,531,16,590,0,0,89,395,5,24,3,2,Matches
332,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,32-207,1988,22.5,596,571,25,0,0,178,9,36,1,1,0,0,309,148,139,63,363,68,8,19,394,2,12,20,32,Matches
333,Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,24-044,1997,0.3,5,5,0,0,0,1,1,0,0,0,0,0,3,1,1,1,4,0,0,0,3,0,0,0,1,Matches
334,Gonzalo Melero\Gonzalo-Melero,es ESP,MFFW,Levante,27-137,1994,19.6,976,944,32,18,3,182,12,4,3,0,0,0,805,104,67,93,808,32,5,16,867,2,11,24,19,Matches
335,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,24-132,1997,28.7,1138,1096,42,14,5,209,26,25,10,4,5,0,830,156,152,924,121,52,13,9,893,2,21,36,39,Matches
336,Édgar Méndez\Edgar-Mendez,es ESP,MFFW,Alavés,31-137,1990,22.4,477,447,30,3,0,117,23,46,1,0,0,0,225,95,157,73,299,39,19,6,274,6,17,17,30,Matches
337,Eñaut Mendía\Enaut-Mendia,es ESP,FW,Eibar,21-328,1999,0.7,11,11,0,0,0,4,0,0,0,0,0,0,8,3,0,0,9,2,0,0,5,0,1,0,2,Matches
338,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Real Madrid,25-345,1995,24.5,1475,1298,177,12,1,170,30,40,0,0,0,0,1114,230,131,903,373,26,165,3,1324,3,13,25,26,Matches
339,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,24-331,1996,23.9,1210,1179,31,29,6,251,34,14,1,0,0,0,815,171,224,954,123,70,1,7,922,14,29,24,37,Matches
340,Martín Merquelanz\Martin-Merquelanz,es ESP,FWMF,Real Sociedad,25-341,1995,6.1,256,213,43,11,0,33,15,14,23,8,9,1,163,39,54,211,24,8,9,2,173,4,4,8,24,Matches
341,Roque Mesa\Roque-Mesa,es ESP,MF,Valladolid,31-346,1989,18.9,911,832,79,45,1,156,51,21,30,9,6,5,640,88,183,175,690,31,0,6,719,5,16,19,27,Matches
342,Lionel Messi\Lionel-Messi,ar ARG,FWMF,Barcelona,33-329,1987,33.6,2418,2185,233,87,23,431,54,66,101,36,21,3,1898,220,300,2137,243,12,3,13,1990,20,25,75,73,Matches
343,Omenuke Mfulu\Omenuke-Mfulu,cd COD,MF,Elche,27-060,1994,7.9,312,304,8,6,0,62,9,1,0,0,0,0,247,32,33,33,260,16,1,1,277,0,6,4,6,Matches
344,Míchel\Michel,es ESP,MF,Valladolid,32-294,1988,10.2,632,570,62,41,1,110,34,21,18,7,7,0,420,69,143,73,524,21,3,4,501,3,15,14,15,Matches
345,Éder Militão\Eder-Militao,br BRA,DF,Real Madrid,23-121,1998,11.6,697,678,19,13,0,59,43,2,0,0,0,0,557,51,89,64,598,19,6,3,631,1,10,8,6,Matches
346,Luis Milla\Luis-Milla,es ESP,MF,Granada,26-224,1994,13.9,535,478,57,36,1,99,27,10,17,5,6,1,348,42,145,48,452,22,1,1,416,5,12,14,10,Matches
347,Pere Milla\Pere-Milla,es ESP,FWMF,Elche,28-238,1992,21.0,546,525,21,0,1,159,8,5,0,0,0,0,370,87,89,377,87,34,5,17,401,4,14,19,31,Matches
348,Alejandro Millán\Alejandro-Millan,es ESP,FW,Villarreal,21-193,1999,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Matches
349,Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,25-163,1995,25.8,594,574,20,1,0,201,13,8,0,0,0,0,328,151,115,48,386,49,5,27,437,3,16,14,20,Matches
350,Óscar Mingueza\Oscar-Mingueza,es ESP,DF,Barcelona,22-006,1999,20.6,1632,1525,107,38,3,137,11,14,0,0,0,0,1391,140,101,178,1339,37,68,2,1499,3,15,16,26,Matches
351,Rafa Mir\Rafa-Mir,es ESP,FW,Huesca,23-335,1997,31.0,462,431,31,0,1,155,14,17,0,0,0,0,212,133,117,31,267,67,2,15,277,10,15,9,30,Matches
352,Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,31-351,1989,19.2,1053,852,201,10,0,119,26,53,1,0,0,0,570,263,220,35,778,37,190,2,824,2,25,24,41,Matches
353,Juan Miranda\Juan-Miranda,es ESP,DF,Betis,21-120,2000,17.9,923,730,193,19,0,70,17,52,2,1,1,0,502,195,226,655,34,39,172,4,696,5,13,31,20,Matches
354,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,35-252,1985,29.4,2222,2105,117,65,11,310,108,48,39,9,17,1,1665,249,308,251,1901,27,13,14,1935,6,32,43,45,Matches
355,Johan Mojica\Johan-Mojica,co COL,DF,Elche,28-271,1992,13.2,696,579,117,15,0,100,8,44,0,0,0,0,359,162,175,526,34,24,102,2,512,2,12,28,28,Matches
356,Guillem Molina\Guillem-Molina,es ESP,DF,Valencia,21-016,2000,1.7,70,55,15,2,0,6,1,0,0,0,0,0,44,17,9,3,45,6,13,0,56,0,1,3,2,Matches
357,Jorge Molina\Jorge-Molina,es ESP,FWMF,Granada,39-027,1982,17.2,451,417,34,0,4,154,6,6,0,0,0,0,231,111,109,120,199,45,2,12,284,4,10,16,27,Matches
358,Victor Mollejo\Victor-Mollejo,es ESP,MFDF,Getafe,20-118,2001,0.8,34,31,3,0,0,5,0,2,0,0,0,0,21,6,7,22,4,4,3,0,24,0,0,0,2,Matches
359,Jon Moncayola\Jon-Moncayola,es ESP,MF,Osasuna,23-006,1998,29.1,1106,1083,23,15,2,163,59,24,1,0,1,0,708,150,248,101,895,71,6,3,905,0,29,19,17,Matches
360,Nacho Monreal\Nacho-Monreal,es ESP,DF,Real Sociedad,35-082,1986,22.1,1152,936,216,23,1,122,7,39,0,0,0,0,707,242,203,797,87,52,193,2,930,6,8,17,41,Matches
361,Ángel Montoro\Angel-Montoro,es ESP,MF,Granada,32-328,1988,15.1,745,626,119,72,4,117,65,31,32,10,9,3,405,87,253,71,639,20,3,2,518,9,32,17,26,Matches
362,Martín Montoya\Martin-Montoya,es ESP,DF,Betis,30-035,1991,2.7,163,133,30,4,0,14,3,5,0,0,0,0,96,30,37,20,103,8,26,0,125,1,3,4,4,Matches
363,Emre Mor\Emre-Mor,tr TUR,FWMF,Celta Vigo,23-299,1997,5.6,124,110,14,4,0,24,2,4,2,2,0,0,89,21,14,104,10,3,2,1,95,0,5,6,2,Matches
364,Jon Morcillo\Jon-Morcillo,es ESP,MFFW,Athletic Club,22-246,1998,15.1,518,454,64,19,1,110,36,76,39,12,20,1,271,88,159,409,70,19,6,1,319,2,13,16,28,Matches
365,Alberto Moreno\Alberto-Moreno,es ESP,DF,Villarreal,28-318,1992,2.1,100,87,13,1,0,15,4,4,0,0,0,0,67,23,10,84,0,4,12,0,84,1,2,4,3,Matches
366,Álex Moreno\Alex-Moreno,es ESP,DF,Betis,27-345,1993,19.3,1150,972,178,12,0,118,19,47,1,0,1,0,678,233,239,814,83,69,165,3,900,5,26,18,35,Matches
367,Gerard Moreno\Gerard-Moreno,es ESP,FWMF,Villarreal,29-042,1992,28.8,1078,1057,21,1,11,299,40,42,0,0,0,0,698,204,176,761,214,40,5,13,741,11,27,48,56,Matches
368,Tete Morente\Tete-Morente,es ESP,MFFW,Elche,24-166,1996,22.4,742,706,36,9,0,138,42,53,20,10,4,0,477,129,136,112,560,41,6,6,557,2,16,8,39,Matches
369,Loren Morón\Loren-Moron,es ESP,FWMF,Betis,27-140,1993,10.9,191,180,11,1,0,61,9,2,0,0,0,0,111,46,34,8,144,10,1,5,135,1,5,2,7,Matches
370,Pedro Mosquera\Pedro-Mosquera,es ESP,MF,Huesca,33-028,1988,22.8,1211,1126,85,85,0,216,57,2,0,0,0,0,840,105,266,1005,122,62,0,1,1040,3,13,21,9,Matches
371,Javi Moyano\Javi-Moyano,es ESP,DF,Valladolid,35-085,1986,1.1,41,27,14,2,0,6,1,1,0,0,0,0,17,5,19,4,20,2,12,0,28,0,1,0,1,Matches
372,Iker Muniain\Iker-Muniain,es ESP,MFFW,Athletic Club,28-151,1992,21.6,1051,929,122,35,5,141,34,34,45,13,16,3,760,154,137,55,932,25,23,7,860,8,12,25,20,Matches
373,Aihen Muñoz\Aihen-Munoz,es ESP,DF,Real Sociedad,23-276,1997,13.4,748,564,184,8,0,77,16,50,2,2,0,0,349,161,238,468,56,40,174,1,510,1,23,25,34,Matches
374,Joaquín Muñoz\Joaquin-Munoz,es ESP,FW,Huesca,22-070,1999,0.5,19,16,3,0,0,6,0,0,0,0,0,0,10,6,3,3,11,0,3,1,12,1,0,0,3,Matches
375,Jeison Murillo\Jeison-Murillo,co COL,DF,Celta Vigo,28-357,1992,30.0,1586,1535,51,47,1,99,65,0,0,0,0,0,1274,114,198,404,1084,58,4,6,1427,1,21,9,8,Matches
376,Yunus Musah\Yunus-Musah,us USA,MF,Valencia,18-171,2002,16.9,441,431,10,2,0,86,7,18,2,0,1,0,323,72,46,54,341,22,6,4,330,2,13,9,15,Matches
377,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Eibar,28-308,1992,12.5,241,228,13,1,1,63,1,7,0,0,0,0,139,57,45,48,114,34,4,11,163,1,4,8,15,Matches
378,Nacho\Nacho,es ESP,DF,Real Madrid,31-121,1990,22.0,1223,1157,66,30,0,115,34,12,0,0,0,0,955,135,133,228,906,38,36,3,1110,2,15,9,17,Matches
379,Nacho\Nacho,es ESP,DF,Valladolid,32-073,1989,20.1,1053,835,218,32,0,127,35,43,2,0,0,0,494,218,341,691,134,32,184,4,760,6,20,30,48,Matches
380,Nano\Nano,es ESP,FWMF,Cádiz,26-103,1995,0.1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,Matches
381,Roberto Navarro\Roberto-Navarro,es ESP,MF,Real Sociedad,19-037,2002,0.4,22,19,3,1,0,5,1,0,2,0,0,2,16,3,3,3,18,1,0,0,17,0,1,0,1,Matches
382,Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,31-116,1990,25.4,1026,759,267,33,0,114,28,24,0,0,0,0,523,196,307,103,624,50,234,3,788,1,26,20,32,Matches
383,Jesús Navas\Jesus-Navas,es ESP,DF,Sevilla,35-179,1985,31.4,2102,1785,317,29,1,210,61,130,2,0,0,0,1182,447,473,141,1593,65,286,4,1676,9,35,39,83,Matches
384,Raúl Navas\Raul-Navas,es ESP,DF,Osasuna,33-008,1988,1.9,58,55,3,3,0,8,3,0,0,0,0,0,31,4,23,11,42,2,0,2,45,0,0,2,0,Matches
385,Álvaro Negredo\Alvaro-Negredo,es ESP,FW,Cádiz,35-272,1985,23.6,554,500,54,1,7,196,22,12,0,0,0,0,206,179,169,291,62,67,4,23,320,3,16,15,21,Matches
386,Neto\Neto,br BRA,GK,Barcelona,31-304,1989,6.0,191,146,45,4,0,22,1,0,0,0,0,0,140,9,42,20,141,0,0,30,170,0,1,0,1,Matches
387,Carlos Neva\Carlos-Neva,es ESP,DF,Granada,24-341,1996,20.0,621,411,210,7,0,61,11,32,1,1,0,0,259,181,181,346,39,28,202,2,442,0,18,8,39,Matches
388,Mamor Niang\Mamor-Niang,sn SEN,FWMF,Getafe,19-104,2002,0.2,5,3,2,0,0,0,0,0,0,0,0,0,4,0,1,2,2,0,0,1,4,0,0,0,0,Matches
389,Nieto\Nieto,es ESP,FWMF,Cádiz,23-051,1998,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,0,5,0,0,0,1,Matches
390,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,26-179,1994,21.9,1148,1104,44,10,0,171,14,26,1,1,0,0,807,185,156,784,199,74,32,11,963,5,18,29,20,Matches
391,Nino\Nino,es ESP,FWMF,Elche,40-343,1980,3.1,122,117,5,0,0,27,6,3,0,0,0,0,83,20,19,15,93,4,1,8,106,0,1,1,1,Matches
392,Fernando Niño\Fernando-Nino,es ESP,FW,Villarreal,20-207,2000,6.6,131,117,14,1,0,34,4,1,0,0,0,0,95,22,14,17,100,2,0,1,99,0,4,3,9,Matches
393,Nolito\Nolito,es ESP,MFFW,Celta Vigo,34-216,1986,28.2,985,902,83,46,9,137,21,24,26,8,9,3,657,124,204,72,859,34,8,4,723,11,14,37,40,Matches
394,Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,24-109,1997,22.4,1104,1067,37,33,2,108,77,1,0,0,0,0,781,96,227,111,907,52,4,2,939,2,24,20,7,Matches
395,Kelechi Nwakali\Kelechi-Nwakali,ng NGA,MFFW,Huesca,22-348,1998,1.6,81,77,4,3,0,15,3,0,0,0,0,0,65,9,7,6,71,3,0,0,70,0,3,3,0,Matches
396,Allan Nyom\Allan-Nyom,cm CMR,MFDF,Getafe,33-009,1988,24.8,851,695,156,9,0,132,32,78,1,0,0,0,337,199,315,139,432,83,146,5,550,4,27,19,38,Matches
397,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,28-132,1993,37.0,975,593,382,96,0,51,30,0,0,0,0,0,344,50,581,44,755,0,2,118,631,3,30,7,1,Matches
398,Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,26-312,1994,28.6,978,922,56,8,4,197,29,45,0,0,0,0,667,167,144,78,777,42,48,6,750,2,21,30,49,Matches
399,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,25-156,1995,8.5,425,349,76,2,0,29,3,28,0,0,0,0,287,81,57,11,332,5,74,2,366,0,4,4,13,Matches
400,Shinji Okazaki\Shinji-Okazaki,jp JPN,FW,Huesca,35-033,1986,12.5,171,157,14,1,0,55,1,3,0,0,0,0,111,37,23,23,109,14,0,5,130,0,1,3,5,Matches
401,Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,26-302,1994,17.9,1003,839,164,30,1,82,12,43,3,0,3,0,571,213,219,759,62,33,131,3,774,4,10,18,36,Matches
402,Lucas Olaza\Lucas-Olaza,uy URU,DF,Valladolid,26-302,1994,13.0,628,485,143,17,0,84,18,37,14,4,9,0,283,123,222,456,27,23,112,0,458,5,5,19,21,Matches
403,Christian Oliva\Christian-Oliva,uy URU,MF,Valencia,24-352,1996,2.2,103,101,2,2,0,19,2,0,0,0,0,0,74,16,13,9,90,3,0,0,84,1,1,2,5,Matches
404,Kiko Olivas\Kiko-Olivas,es ESP,DFMF,Valladolid,32-271,1988,1.0,56,55,1,1,0,10,0,0,0,0,0,0,49,4,3,1,51,2,0,1,51,0,0,2,0,Matches
405,Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,29-131,1992,28.5,1107,1064,43,41,1,155,45,1,0,0,0,0,574,104,429,58,860,127,2,1,782,2,62,12,12,Matches
406,Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,23-200,1997,29.0,1129,844,285,19,0,192,22,51,0,0,0,0,483,311,335,659,77,74,266,5,790,4,19,35,57,Matches
407,Javier Ontiveros\Javier-Ontiveros,es ESP,FWMF,Huesca,23-252,1997,10.2,471,439,32,13,4,91,21,20,12,3,5,0,332,59,80,34,406,16,7,3,364,2,8,17,15,Matches
408,Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Valladolid,35-112,1986,23.8,818,721,97,32,2,138,45,55,29,12,4,1,477,150,191,126,603,50,22,8,593,5,21,25,45,Matches
409,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,24-028,1997,25.9,965,827,138,47,1,189,57,53,83,30,40,6,590,152,223,777,111,40,8,13,677,2,24,30,50,Matches
