Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
64,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-080,1996,28.9,9,1,1,92,34,9,11,19,26,0,0,0,138,35,136,20.5,Matches
65,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-348,1991,12.6,3,0,0,11,20,14,7,7,6,0,0,0,39,15,14,51.7,Matches
66,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-096,1992,10.1,4,0,0,26,7,1,11,4,12,0,0,0,84,30,22,57.7,Matches
67,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-104,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
68,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-036,1983,19.0,2,0,0,0,0,0,0,0,0,0,0,0,86,0,0,,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-266,1997,13.7,3,1,0,44,17,0,1,13,20,0,1,0,115,23,22,51.1,Matches
70,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-115,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
71,Bryan\Bryan,es ESP,FW,Sevilla,20-097,2001,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
72,Bryan\Bryan,es ESP,MFFW,Eibar,20-097,2001,24.7,6,0,0,25,43,12,106,15,17,0,0,0,178,13,48,21.3,Matches
73,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-301,1991,17.8,3,0,0,29,31,20,5,1,15,0,0,0,76,120,95,55.8,Matches
74,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-130,1992,12.3,5,0,0,14,3,1,0,12,8,0,0,0,176,38,34,52.8,Matches
