Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,1,13,3,23.1,1.41,0.33,0.08,0.33,17.8,1,0,0,1.0,1.0,0.07,0.0,0.0,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,2,28,7,25.0,1.97,0.49,0.07,0.29,20.9,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,0,6,2,33.3,0.35,0.12,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,1,11,1,9.1,0.53,0.05,0.09,1.00,14.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,8.5,0,5,1,20.0,0.59,0.12,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,10.0,0,2,0,0.0,0.20,0.00,0.00,,27.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
25,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,22-301,1998,0.3,0,2,0,0.0,7.83,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
26,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-108,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
27,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-231,1995,33.1,3,47,9,19.1,1.42,0.27,0.06,0.33,25.5,6,0,0,2.2,2.2,0.05,+0.8,+0.8,Matches
28,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-263,1991,26.0,0,6,0,0.0,0.23,0.00,0.00,,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,15.8,2,12,4,33.3,0.76,0.25,0.17,0.50,10.2,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
30,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,34-004,1987,30.2,0,26,2,7.7,0.86,0.07,0.00,0.00,26.9,4,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
31,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-138,1999,0.5,0,1,0,0.0,1.91,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
32,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-231,2001,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
33,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-325,1989,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,25-118,1996,20.2,5,40,11,27.5,1.98,0.55,0.13,0.45,18.3,3,0,0,4.8,4.8,0.12,+0.2,+0.2,Matches
35,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,33-291,1987,30.8,13,41,21,51.2,1.33,0.68,0.22,0.43,15.4,5,4,4,11.5,8.4,0.21,+1.5,+0.6,Matches
36,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,21-357,1999,8.3,0,5,0,0.0,0.60,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
37,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,27-102,1994,2.2,0,8,2,25.0,3.56,0.89,0.00,0.00,20.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
38,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-158,1992,1.1,0,2,0,0.0,1.78,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
39,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-253,1986,8.0,5,19,12,63.2,2.37,1.50,0.26,0.42,15.0,0,0,0,3.4,3.4,0.18,+1.6,+1.6,Matches
40,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-096,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
